SAMPLEID,ANSWERDATE,性別,年代,居住地方,結婚,子ども,世帯年収,職業,建築タイプ,,,,,,,,,,Q7S1,Q7S7,Q7S8,Q7S9,Q7S10,Q7S11,Q8S12,Q9S4,Q9S5,Q9S15,Q10S1,Q10S2,Q10S3,Q10S4,Q10S5,Q10S6,Q10S7,Q10S8,Q10S9,Q10S10,Q10S11,Q10S12,Q10S13,Q10S14,Q10S15,Q11S4,Q11S5,Q11S6,Q11S7,Q11S11,Q11S12,Q11S13,Q11S15,Q12S1,Q7S2,Q7S3,Q7S4,Q7S5,Q7S6,Q7S12,Q7S13,Q7S14,Q7S15,Q8S1,Q8S2,Q8S3,Q8S4,Q8S5,Q8S6,Q8S7,Q8S8,Q8S9,,Q8S11,Q8S13,Q8S14,Q8S15,Q9S1,Q9S2,Q9S3,Q9S6,Q9S7,Q9S8,Q9S9,Q9S10,Q9S11,Q9S12,Q9S13,Q9S14,Q11S1,Q11S2,Q11S3,Q11S8,Q11S9,Q11S14,Q12S2,Q12S3,Q12S4,Q12S5,Q12S6,Q12S7
,,,,,,,,,,人生満足度尺度（SWLS）,主体性4項目,ポジティブ感情（PA）,ネガティブ感情（NA）,やってみよう,ありがとう,なんとかなる,ありのままに,幸せの四因子,全体として、安心できる,全体として、快適である,全体として、機能的である,全体として、創造的な活動ができると思う,全体として、品質が高いと思う,全体として、満足している,全体として使いやすい,身体的に健康な状態で過ごすことができる,精神的に健康な状態で過ごすことができる,心身ともにリラックスできる,ストレスを感じない,多くの人にほめてもらいたい,美しいと感じる,感動することがある,芸術性を感じる,デザインが素敵だと思う,愛着を感じる,自分好みの空間になっている,自分自身の個性に合っていると思う,自分らしくいられる,過ごせることに感謝している,毎日、幸せだと感じる,喜びを感じることがある,ゆっくりとした時間が流れている,集中して、すぐに時間が経つように感じる,このまま使い続けたい,自然体でいられると思う,自分以外の誰かを喜ばせることができる,自由な行動がゆるされていると感じる,会話する機会が多いと思う,一人でいる方が快適である,複数人で空間を共有すると楽しい,気を使わずに行動できる,気を使わずに言いたいことが言える,地震による被害の心配はない,台風や豪雨による被害の心配はない,泥棒や不審者が侵入する心配はない,屋外の騒音が気にならない,外からの視線が気にならない,自分の居場所がある,快適な室温,快適な広さ,快適な天井高,窓からの日当たりがよい,窓からの風通しがよい,窓からの眺めがよい,テラスや縁側がある,雰囲気のよい照明がある,見通しがよく全体を見渡せる,開放感がある,よい香りがする,身近に自然を感じる,空気や水がきれい,木材などの自然素材を使っている,みんなで集まることができる,快適な食事ができる,快適な睡眠(仮眠)ができる,快適なトイレがある,清掃などによって清潔に保たれている,浴室、洗面室で自分自身がいつも清潔,家具を自由にレイアウトできる,建具等の開閉等により空間を自由に使える,壁紙など自由にカスタマイズ,自分の個性を表現できる,壁に近い位置がよい,窓に近い位置がよい,座る高さは低い方が心地よい（例：高い椅子→低い椅子）,好きな時に好きなところへ移動できる,目的の場所に合理的な経路で移動ができる,自由に過ごし方を決めることができる,これといった用途がない空間,芸術を楽しむことができる,互いにコミュニケーションを取りやすい,互いに適度な距離感を保てる,互いの視線が気にならない,全体的に物が少ない,全体的に物が多い,快適に使用できる家具がある,芸術作品が身近にある,観葉植物や生花がある,好きな物が多い
7690014,2024/12/10 10:29,女性,20代,関東地方,未婚,子どもなし,400〜800万未満,会社員,住宅,3.8,3.5,4.125,-3.125,3,4.5,3,3,3.375,4,3,3,4,4,3,4,5,5,4,4,2,4,3,2,2,4,4,3,2,4,3,4,3,4,2,4,3,2,3,3,3,3,3,4,2,1,2,3,4,5,2,2,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,5,4,5,5,4,4,5,4,3,4,4,4,3,2,2,3,4,3,3,3,3,3,4
9174063,2024/12/10 16:14,女性,20代,関東地方,未婚,子どもなし,わからない,会社員,住宅,4.2,5,3.375,-2.75,5.5,4.5,4.5,4.5,4.75,2,3,3,3,3,3,3,3,2,2,4,2,2,2,4,2,3,2,3,4,3,2,2,1,3,3,3,2,2,3,2,2,2,3,3,4,4,3,2,2,3,3,2,3,3,3,3,3,2,2,3,3,1,2,3,2,2,3,3,3,2,2,3,4,3,3,2,2,1,3,2,2,3,3,3,2,3,3,3,2,3
9301356,2024/12/10 17:34,女性,20代,北海道・東北地方,既婚,子どもなし,800～1200万未満,会社員,住宅,5.8,4.5,4.875,-2.625,6,4.5,5,6.5,5.5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,2,4
16454475,2024/12/10 16:09,女性,20代,関東地方,未婚,子どもなし,400万未満,会社員,住宅,1.6,4,3,-3.5,1.5,2,2,4,2.375,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4
17735934,2024/12/10 11:07,女性,20代,関東地方,未婚,子どもなし,400〜800万未満,会社員,住宅,5.2,5.5,4,-1,5,6,5.5,5,5.375,4,5,5,5,5,5,4,5,5,5,5,2,2,2,1,1,4,4,4,4,4,4,4,4,2,3,4,1,5,1,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,2,1,2,4,4,4,2,4,4,4,4,5,5,4,5,5,5,1,5,2,5,3,5,5,5,5,1,1,3,2,2,4,4,1,1,4
18864864,2024/12/9 20:04,女性,20代,北海道・東北地方,未婚,子どもなし,わからない,会社員,住宅,5.6,5.75,2.375,-1.75,1,5,5,3,3.5,3,3,2,3,2,1,4,1,1,2,5,1,4,4,5,3,3,1,2,2,1,2,1,2,2,1,4,3,3,3,3,1,3,2,2,1,5,4,3,3,3,3,2,5,3,2,1,2,4,4,2,3,3,1,2,4,4,4,2,2,3,1,1,4,3,4,4,2,1,3,4,2,1,1,4,1,2,1,1,5,2
21222860,2024/12/10 16:23,女性,20代,関東地方,未婚,子どもなし,わからない,会社員,住宅,2.4,3,3.375,-3,1.5,1.5,2.5,2.5,2,2,1,2,2,3,2,1,1,2,2,2,2,2,2,3,3,3,2,1,2,2,2,1,1,1,1,1,2,2,1,5,2,2,2,1,2,2,3,2,3,2,1,3,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
22270217,2024/12/10 14:26,女性,20代,関東地方,未婚,子どもなし,,会社員,住宅,3.6,4.5,3.25,-3.5,3.5,4,5,3,3.875,4,4,3,2,4,3,3,2,4,3,4,2,3,2,2,4,4,2,3,2,3,2,2,4,2,2,3,4,2,2,2,3,4,3,3,2,3,3,2,1,2,4,3,4,3,2,3,3,3,3,3,1,3,3,3,2,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,3,2,2,4,3,3
22347237,2024/12/10 16:36,女性,20代,近畿地方,未婚,子どもなし,,会社員,住宅,3.6,3.25,2.75,-3.125,2.5,4,3.5,4,3.5,2,4,3,3,3,4,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,2,2,3,3,3,4,3,3,3,3,3
